,KIN_ACC,KINASE,Family,Group
0,Q9Y243,AKT3,Akt,AGC
1,Q5VT25,CDC42BPA,DMPK,AGC
2,Q96BR1,SGK3,SGK,AGC
3,P32298,GRK4,GRK,AGC
4,Q9UBS0,P70S6KB,RSK,AGC
5,O75676,RPS6KA4,RSK,AGC
6,P22694,PKACB,PKA,AGC
7,Q15208,NDR1,NDR,AGC
8,Q15119,PDHK2,PDHK,Atypical
9,Q9BX84,TRPM6,Alpha,Atypical
10,Q96Q15,SMG1,PIKK,Atypical
11,P21675,TAF1,TAF1,Atypical
12,Q13555,CAMK2G,CAMK2,CAMK
13,O94806,PRKD3,PKD,CAMK
14,Q86V86,PIM3,PIM,CAMK
15,P98161,PKD1,PKD,CAMK
16,O60285,NUAK1,CAMKL,CAMK
17,Q15746,MYLK,MLCK,CAMK
18,Q9HBH9,MKNK2,MAPKAPK,CAMK
19,Q16644,MAPKAPK3,MAPKAPK,CAMK
20,Q9BUB5,MNK1,MAPKAPK,CAMK
21,Q96RG2,PASK,CAMKL,CAMK
22,P27448,MARK3,CAMKL,CAMK
23,Q9P0L2,MARK1,CAMKL,CAMK
24,Q9UIK4,DAPK2,DAPK,CAMK
25,O14936,CASK,CASK,CAMK
26,Q8TDC3,BRSK1,CAMKL,CAMK
27,Q8IWQ3,BRSK2,CAMKL,CAMK
28,Q86Y07,VRK2,VRK,CK1
29,Q5TCY1,TTBK1,TTBK,CK1
30,Q6IQ55,TTBK2,TTBK,CK1
31,Q9HCP0,CSNK1G1,CK1,CK1
32,P78368,CK1G2,CK1,CK1
33,Q9NYV4,CDK12,CDK,CMGC
34,Q16659,MAPK6,MAPK,CMGC
35,Q8TD08,MAPK15,MAPK,CMGC
36,O94921,CDK14,CDK,CMGC
37,Q00536,CDK16,CDK,CMGC
38,P78362,SRPK2,SRPK,CMGC
39,O76039,CDKL5,CDKL,CMGC
40,O43781,DYRK3,DYRK,CMGC
41,Q9UPZ9,ICK,RCK,CMGC
42,P49759,CLK1,CLK,CMGC
43,Q9Y463,DYRK1B,DYRK,CMGC
44,Q9BWU1,CDK19,CDK,CMGC
45,Q9H4A3,WNK1,WNK,Other
46,O75716,STK16,NAK,Other
47,P00540,MOS,MOS,Other
48,Q6PHR2,ULK3,ULK,Other
49,Q96PY6,NEK1,NEK,Other
50,Q8TDX7,NEK7,NEK,Other
51,Q8TD19,NEK9,NEK,Other
52,Q8TAS1,UHMK1,KIS,Other
53,Q504Y2,PKDCC,SgK493,Other
54,Q96KB5,PBK,TOPK,Other
55,Q8IYT8,ULK2,ULK,Other
56,Q9UKI8,TLK1,TLK,Other
57,Q9UGJ0,AMPKG2,,Other
58,Q96J92,WNK4,WNK,Other
59,Q9BYP7,WNK3,WNK,Other
60,Q9Y4B6,DCAF1,,Other
61,Q9UQB9,AURC,Aur,Other
62,Q96RR4,CAMKK2,CAMKK,Other
63,Q9H2G2,SLK,STE20,STE
64,Q9NQU5,PAK6,STE20,STE
65,Q9Y6E0,MST3,STE20,STE
66,O75914,PAK3,STE20,STE
67,Q13233,MAP3K1,STE11,STE
68,Q8NEV4,MYO3A,STE20,STE
69,Q9P286,PAK5,STE20,STE
70,Q9P289,MST4,STE20,STE
71,Q9Y2U5,MEKK2,STE11,STE
72,O14733,MAP2K7,STE7,STE
73,P46734,MAP2K3,STE7,STE
74,Q02750,MEK1,STE7,STE
75,Q99759,MAP3K3,STE11,STE
76,O95819,HGK,STE20,STE
77,Q99558,NIK,STE-Unique,STE
78,Q92918,MAP4K1,STE20,STE
79,O95382,MAP3K6,STE11,STE
80,P29323,EPHB2,Eph,TK
81,P54762,EPHB1,Eph,TK
82,P42680,TEC,Tec,TK
83,Q02763,TEK,Tie,TK
84,P54764,EPHA4,Eph,TK
85,P35916,VGFR3,VEGFR,TK
86,P07333,CSF1R,PDGFR,TK
87,P30530,AXL,Axl,TK
88,P51451,BLK,Src,TK
89,Q07912,TNK2,Ack,TK
90,P17948,FLT1,VEGFR,TK
91,P35968,VGFR2,VEGFR,TK
92,P29317,EPHA2,Eph,TK
93,P42681,TXK,Tec,TK
94,Q12866,MERTK,Axl,TK
95,P07332,FES,Fer,TK
96,P10721,KIT,PDGFR,TK
97,P16234,PDGFRA,PDGFR,TK
98,Q15303,ERBB4,EGFR,TK
99,P36888,FLT3,PDGFR,TK
100,Q04912,RON,Met,TK
101,P22607,FGFR3,FGFR,TK
102,P21802,FGFR2,FGFR,TK
103,Q13546,RIPK1,RIPK,TKL
104,Q9Y572,RIPK3,RIPK,TKL
105,P15056,BRAF,RAF,TKL
106,Q13418,ILK,MLK,TKL
107,O00238,BMR1B,STKR,TKL
108,P36897,TGFBR1,STKR,TKL
109,Q38SD2,LRRK1,LRRK,TKL
110,Q02779,MLK2,MLK,TKL
111,Q16584,MLK3,MLK,TKL
112,P10398,ARAF,RAF,TKL
113,Q9NYL2,ZAK,MLK,TKL
114,O43353,RIPK2,RIPK,TKL
115,P51617,IRAK1,IRAK,TKL
